InstanceID,DateTimeStamp,Respondent,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,SessionBlockCount,SelfMonitoring1,SelfMonitoring2,SelfMonitoring3,SelfMonitoring4,SelfMonitoring5,SelfMonitoring6,SelfMonitoring6a_1,SelfMonitoring6a_2,SelfMonitoring6a_3,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3,ConfConfederateInteraction,ConfTrialNote,IOAMonitoring1,IOAMonitoring2,IOAMonitoring3,IOAMonitoring4,IOAMonitoring5,IOAMonitoring6,IOAMonitoring6a_1,IOAMonitoring6a_2,IOAMonitoring6a_3,IOAConfederateInteraction,IOATrialNote,IOAxCONF_Key
p3h2noxcwo,2024-08-06T12:10:55-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1,1,0.5,,,,,,,,,,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,Prompted to push button,0,1,0,0,1,1,0,1,0,0,"""I like how you're helping"" (not 100% if this is task-specific)",1
8c3dazi3qu,2024-08-06T12:16:47-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,1,0.5,,,,,,,,,,1,1,0,0,1,1,0,1,0,0,,0,1,0,0,1,1,0,1,0,1,Further clarification on task from confederate,2
bzpgcj844i,2024-08-06T12:18:58-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,2,1,,,,,,,,,,1,1,0,0,0,0,0,0,1,1,Mentioned random assignment ,0,1,0,0,1,0,0,0,0,1,"Further explanation by confederate on when he will/not comply (""It's automated"") 9:05",3
5323y3y8fp,2024-08-06T12:20:36-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,3,1.5,,,,,,,,,,1,1,0,0,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,1,0,,4
zom6it7q6a,2024-08-06T12:22:07-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,4,2,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,,0,1,0,0,1,1,0,1,0,0,,5
zp2oqbs26n,2024-08-06T12:23:44-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,5,2.5,,,,,,,,,,1,1,0,1,1,0,1,1,1,1,Cited my own phone use,0,1,0,0,1,0,1,1,1,1,Confederate said he forgot what he was supposed to do 14:15,6
3bjywc7ujz,2024-08-06T12:25:17-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,6,3,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,,0,1,0,0,1,1,0,1,0,0,Caregiver noted something she would typically do different with AC 16:20,7
xmwo3ksvlr,2024-08-06T12:26:54-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,7,3.5,,,,,,,,,,1,1,0,1,1,0,0,1,0,0,,1,1,0,0,1,1,0,1,0,1,Joke about being old and having to get on the ground 17:45,8
n6ug7xzlvn,2024-08-06T12:28:26-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,8,4,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,,0,1,0,0,1,1,0,1,0,0,,9
sdpw089q9q,2024-08-06T12:29:43-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,9,4.5,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,,0,1,0,0,1,1,0,1,0,0,,10
pzsi25ii78,2024-08-06T12:31:29-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,10,5,,,,,,,,,,1,1,0,1,1,0,0,0,1,1,Forgot blanket,0,1,0,0,1,0,0,1,0,1,Caregiver asked confederate to get blanket 21:35,11
jauk391j4r,2024-08-06T12:33:30-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,11,5.5,,,,,,,,,,1,1,0,1,1,0,0,1,0,0,"Was a no comply, wasn't sure of task, she took it as a compliant",0,1,0,0,1,1,0,1,0,0,,12
a4knedjuvn,2024-08-06T12:34:59-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,12,6,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,,0,1,0,0,1,1,0,1,0,0,,13
59z28789f8,2024-08-06T12:42:01-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1,2,0.5,,,,,,,,,,1,1,0,1,1,1,0,1,0,1,Requested to have placement on floor,1,1,0,0,1,1,0,1,0,0,,14
jqtcx1bw9u,2024-08-06T12:44:35-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,13,0.5,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,,1,1,0,0,1,1,0,1,0,0,,15
sv1ln9v67n,2024-08-06T12:46:18-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,14,1,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,Should have been a no comply **Addressed 2024.09.16**,0,1,0,0,1,1,0,1,0,0,,16
ox85op7a90,2024-08-06T12:47:31-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,15,1.5,,,,,,,,,,1,1,0,1,1,0,1,1,1,0,,1,1,0,0,1,0,1,1,1,0,,17
vreldn5mvu,2024-08-06T12:51:02-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,16,2,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,,1,1,0,0,1,1,0,1,0,0,,18
h1jnbdx1lz,2024-08-06T12:52:49-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1,3,0.5,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,,1,1,0,0,1,1,0,1,0,0,child got distracted on the way to comply with demand 43:00,19
yq71aj4ndb,2024-08-06T12:55:27-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,17,0.5,,,,,,,,,,1,1,0,1,1,0,0,0,1,0,,1,1,0,0,1,0,1,1,1,0,"child stayed in room, didn't seem to have impact on caregiver's behavior though",20
tag1fa0kp1,2024-08-06T12:56:51-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,18,1,,,,,,,,,,1,1,0,1,1,1,0,1,0,1,,1,1,0,0,1,1,0,1,0,0,,21
1lv6uae4sw,2024-08-06T13:00:31-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1,4,0.5,,,,,,,,,,1,1,0,1,1,1,0,1,0,0,,1,1,0,0,1,1,0,1,0,0,,22
j8lu5vx9rx,2024-08-06T14:09:05-04:00,3_IOAxCONF,Case3,0_BL,0_AC,1,1,0.5,,,,,,,,,,1,0,0,0,1,1,0,1,0,1,Some smiles when the child took a moment,0,1,0,0,1,1,1,1,0,0,"Child struggled with completing the task, and got distracted a few times 1:00",23
zqh67kai1y,2024-08-06T14:13:50-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,1,0.5,,,,,,,,,,1,1,0,0,1,1,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,,24
7o69hq0dlj,2024-08-06T14:15:16-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,2,1,,,,,,,,,,1,1,0,0,1,0,0,0,1,1,I said perfect at the end,0,1,0,0,1,0,0,0,0,0,,25
lgau2v904v,2024-08-06T14:16:28-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,3,1.5,,,,,,,,,,1,1,0,0,1,1,0,1,0,0,,1,1,0,0,0,1,0,1,0,0,,26
wieyal9grr,2024-08-06T14:17:42-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,4,2,,,,,,,,,,0,1,0,0,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,0,1,Confederate noted repetitiveness to caregiver 13:00,27
ceio20vzn7,2024-08-06T14:18:58-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,5,2.5,,,,,,,,,,0,1,0,0,1,1,0,0,0,0,,0,1,0,0,1,1,0,1,0,0,,28
nuojvsrak4,2024-08-06T14:20:16-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,6,3,,,,,,,,,,0,1,0,0,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,1,0,,29
vgsfvs23id,2024-08-06T14:21:23-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,7,3.5,,,,,,,,,,0,1,0,0,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,1,0,,30
k81nionvca,2024-08-06T14:22:38-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,8,4,,,,,,,,,,0,0,0,0,1,1,0,1,0,1,Mentioned phone,0,1,0,0,1,1,1,1,0,1,Confederate checked phone for what to do 18:00,34
u0e61zeiap,2024-08-06T14:23:49-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,9,4.5,,,,,,,,,,0,1,0,0,1,1,0,1,0,0,,0,1,0,0,1,1,0,1,0,0,,35
rxji52j2gp,2024-08-06T14:25:09-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,10,5,,,,,,,,,,1,1,0,1,1,0,0,0,1,0,,0,1,0,0,1,0,0,0,1,0,,36
tz3akpx8zf,2024-08-06T14:26:14-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,11,5.5,,,,,,,,,,1,1,0,0,1,1,0,1,0,0,,1,1,0,0,1,1,1,0,0,0,,37
