InstanceID,EventNote,DateTimeStamp,ResponseIDx,CaregiverID,Respondent,StudyPhase,SessionType,SessionCount,TotalSessionTrials,SessionBlockCount,TrialDirection,CareDirStart,CareDirEnd,SelfMonitoring1,SelfMonitoring2,SelfMonitoring3,SelfMonitoring4,SelfMonitoring5,SelfMonitoring6,SelfMonitoring6a_1,SelfMonitoring6a_2,SelfMonitoring6a_3,ConfResponse,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3,ConfChildResponse,ConfederateInteraction,ConfTrialNote,ConfSessionNote,IOAVideoName,IOADirStart,IOADirEnd,IOAMonitoring1,IOAMonitoring2,IOAMonitoring3,IOAMonitoring4,IOAMonitoring5,IOAMonitoring6,IOAMonitoring6a_1,IOAMonitoring6a_2,IOAMonitoring6a_3,IOAResponse,IOAChildResponse,IOAConfederateInteraction,IOATrialNote,IOASessionNote
ypyqf5xrqh,0_SurveyStart,2024-08-06T09:39:26-04:00,R_12Q9whOw5asqtfO,Case1,1_CONF,0_BL,0_AC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w56u3xu67f,0_SurveyStart,2024-08-06T10:04:02-04:00,R_69jvudl4LWG1PzP,Case1,0_CARE,0_BL,0_AC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2e730i2e0,0_SurveyStart,2024-08-06T10:31:53-04:00,R_6Os6hWfdQTwgCIN,Case1,0_CARE,0_BL,0_AC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3ah30q96ja,0_SurveyStart,2024-08-06T10:33:14-04:00,R_1ta6uIudt9Q0TbH,Case1,1_CONF,0_BL,0_AC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyds5rojrz,0_SurveyStart,2024-08-06T10:49:45-04:00,R_1aQbnZ6Eaf18YPq,Case1,0_CARE,0_BL,0_AC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vh6aj39neu,0_SurveyStart,2024-08-06T10:50:47-04:00,R_3DXQUcT2Dxnt4Xf,Case1,0_CARE,0_BL,0_AC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lyoggrm5uz,0_SurveyStart,2024-08-06T10:13:13-04:00,R_1e38uGtrtc2vxYL,Case1,0_CARE,0_BL,1_SC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7se2cq841f,1.0_BL_EDC-Start,2024-08-06T10:13:29-04:00,R_1e38uGtrtc2vxYL,Case1,0_CARE,0_BL,1_SC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9885f5xk7p,1.1_BL_EDC-End,2024-08-06T10:13:51-04:00,R_1e38uGtrtc2vxYL,Case1,0_CARE,0_BL,1_SC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
je8anwvdcp,0_SurveyStart,2024-08-06T10:51:19-04:00,R_58VcvvGtc8VWQl9,Case1,1_CONF,0_BL,0_AC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7uurwi2msj,0_SurveyStart,2024-08-06T10:14:41-04:00,R_5h6miWI0O8vFXTR,Case1,1_CONF,0_BL,1_SC,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
s8qadfh19o,3.0_Care_BL_SC_TrialComplete,2024-08-06T10:16:13-04:00,R_1e38uGtrtc2vxYL,Case1,0_CARE,0_BL,1_SC,1,1,0.5,BL0_Have your focus child throw the trash away,2024-08-06T10:15:25-04:00,2024-08-06T10:16:11-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4wfnryqwqr,3.0_Conf_TX_SC_TrialComplete,2024-08-06T10:16:49-04:00,R_5h6miWI0O8vFXTR,Case1,1_CONF,0_BL,1_SC,1,1,0.5,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,,0,,,,,,,,,,,,,,,,,,,
qti5dsiydm,3.0_Care_BL_SC_TrialComplete,2024-08-06T10:17:40-04:00,R_1e38uGtrtc2vxYL,Case1,0_CARE,0_BL,1_SC,1,2,1,BL2_Have your focus child put the puzzle away,2024-08-06T10:17:01-04:00,2024-08-06T10:17:38-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76b6silt5i,3.0_Conf_TX_SC_TrialComplete,2024-08-06T10:18:11-04:00,R_5h6miWI0O8vFXTR,Case1,1_CONF,0_BL,1_SC,1,2,1,,,,,,,,,,,,,,1,1,0,0,1,1,0,1,1,,0,Prompt to phone down,,,,,,,,,,,,,,,,,,
eefr3hj5f2,3.0_Care_BL_SC_TrialComplete,2024-08-06T10:18:59-04:00,R_1e38uGtrtc2vxYL,Case1,0_CARE,0_BL,1_SC,1,3,1.5,BL1_Have your focus child sit at the table,2024-08-06T10:17:45-04:00,2024-08-06T10:18:58-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zmp0lp9k1f,3.0_Conf_TX_SC_TrialComplete,2024-08-06T10:19:27-04:00,R_5h6miWI0O8vFXTR,Case1,1_CONF,0_BL,1_SC,1,3,1.5,,,,,,,,,,,,,,1,1,0,0,1,1,0,1,1,,0,,,,,,,,,,,,,,,,,,,
pog5va5bcf,3.0_Care_BL_SC_TrialComplete,2024-08-06T10:20:24-04:00,R_1e38uGtrtc2vxYL,Case1,0_CARE,0_BL,1_SC,1,4,2,BL2_Have your focus child put the puzzle away,2024-08-06T10:19:03-04:00,2024-08-06T10:20:23-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fezz3o4qcl,3.0_Conf_TX_SC_TrialComplete,2024-08-06T10:21:08-04:00,R_5h6miWI0O8vFXTR,Case1,1_CONF,0_BL,1_SC,1,4,2,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,,1,I complied when I shouldn't have **Addressed 2024.09.16**,,,,,,,,,,,,,,,,,,
i7uq3flord,3.0_Care_BL_SC_TrialComplete,2024-08-06T10:22:19-04:00,R_1e38uGtrtc2vxYL,Case1,0_CARE,0_BL,1_SC,1,5,2.5,BL1_Have your focus child sit at the table,2024-08-06T10:21:43-04:00,2024-08-06T10:22:18-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wfh37yc833,3.0_Conf_TX_SC_TrialComplete,2024-08-06T10:22:56-04:00,R_5h6miWI0O8vFXTR,Case1,1_CONF,0_BL,1_SC,1,5,2.5,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,,0,,,,,,,,,,,,,,,,,,,
t50chnzfox,3.0_Care_BL_SC_TrialComplete,2024-08-06T10:24:30-04:00,R_1e38uGtrtc2vxYL,Case1,0_CARE,0_BL,1_SC,1,6,3,BL0_Have your focus child throw the trash away,2024-08-06T10:23:45-04:00,2024-08-06T10:24:28-04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7o936qd290,3.0_Conf_TX_SC_TrialComplete,2024-08-06T10:25:16-04:00,R_5h6miWI0O8vFXTR,Case1,1_CONF,0_BL,1_SC,1,6,3,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,,0,,,,,,,,,,,,,,,,,,,
