Section,Cohen's Kappa,Percentage Agreement (%),Number of Observations
Entire Set,0.6866137868999918,86.66044776119402,1072
ConfMonitoring1 vs IOAMonitoring1,0.3824884792626728,74.6268656716418,134
ConfMonitoring2 vs IOAMonitoring2,-0.012084592145015227,96.26865671641791,134
ConfMonitoring3 vs IOAMonitoring3,0.6995515695067265,85.82089552238806,134
ConfMonitoring4 vs IOAMonitoring4,0.49796617426675227,73.88059701492537,134
ConfMonitoring5 vs IOAMonitoring5,-0.042432814710042566,91.7910447761194,134
ConfMonitoring6a_1 vs IOAMonitoring6a_1,0.6567164179104478,82.83582089552239,134
ConfMonitoring6a_2 vs IOAMonitoring6a_2,0.7970465732677017,94.02985074626866,134
ConfMonitoring6a_3 vs IOAMonitoring6a_3,0.8534317746786984,94.02985074626866,134
"CaregiverID Case1, StudyPhase 0_BL",0.7395833333333333,87.5,120
"CaregiverID Case1, StudyPhase 2_T2",0.5430183356840621,88.75,240
"CaregiverID Case1, StudyPhase 5_RTB",0.0,95.83333333333334,48
"CaregiverID Case2, StudyPhase 0_BL",0.5884732052578362,78.97727272727273,176
"CaregiverID Case2, StudyPhase 5_RTB",0.368421052631579,90.625,32
"CaregiverID Case3, StudyPhase 0_BL",0.6858557722067471,84.91379310344827,232
"CaregiverID Case3, StudyPhase 1_T1",0.4516523867809058,78.125,64
"CaregiverID Case3, StudyPhase 2_T2",0.0,89.58333333333334,48
"CaregiverID Case3, StudyPhase 3_T3",-0.021897810218977964,95.53571428571429,112
