InstanceID,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,SessionBlockCount,Respondent
p3h2noxcwo,Case2,0_BL,0_AC,1,1,0.5,3_IOAxCONF
8c3dazi3qu,Case2,0_BL,1_SC,1,1,0.5,3_IOAxCONF
bzpgcj844i,Case2,0_BL,1_SC,1,2,1.0,3_IOAxCONF
5323y3y8fp,Case2,0_BL,1_SC,1,3,1.5,3_IOAxCONF
zom6it7q6a,Case2,0_BL,1_SC,1,4,2.0,3_IOAxCONF
zp2oqbs26n,Case2,0_BL,1_SC,1,5,2.5,3_IOAxCONF
3bjywc7ujz,Case2,0_BL,1_SC,1,6,3.0,3_IOAxCONF
xmwo3ksvlr,Case2,0_BL,1_SC,1,7,3.5,3_IOAxCONF
n6ug7xzlvn,Case2,0_BL,1_SC,1,8,4.0,3_IOAxCONF
sdpw089q9q,Case2,0_BL,1_SC,1,9,4.5,3_IOAxCONF
pzsi25ii78,Case2,0_BL,1_SC,1,10,5.0,3_IOAxCONF
jauk391j4r,Case2,0_BL,1_SC,1,11,5.5,3_IOAxCONF
a4knedjuvn,Case2,0_BL,1_SC,1,12,6.0,3_IOAxCONF
59z28789f8,Case2,0_BL,0_AC,1,2,0.5,3_IOAxCONF
jqtcx1bw9u,Case2,0_BL,1_SC,1,13,0.5,3_IOAxCONF
sv1ln9v67n,Case2,0_BL,1_SC,1,14,1.0,3_IOAxCONF
ox85op7a90,Case2,0_BL,1_SC,1,15,1.5,3_IOAxCONF
vreldn5mvu,Case2,0_BL,1_SC,1,16,2.0,3_IOAxCONF
h1jnbdx1lz,Case2,0_BL,0_AC,1,3,0.5,3_IOAxCONF
yq71aj4ndb,Case2,0_BL,1_SC,1,17,0.5,3_IOAxCONF
tag1fa0kp1,Case2,0_BL,1_SC,1,18,1.0,3_IOAxCONF
1lv6uae4sw,Case2,0_BL,0_AC,1,4,0.5,3_IOAxCONF
j8lu5vx9rx,Case3,0_BL,0_AC,1,1,0.5,3_IOAxCONF
zqh67kai1y,Case3,0_BL,1_SC,1,1,0.5,3_IOAxCONF
7o69hq0dlj,Case3,0_BL,1_SC,1,2,1.0,3_IOAxCONF
lgau2v904v,Case3,0_BL,1_SC,1,3,1.5,3_IOAxCONF
wieyal9grr,Case3,0_BL,1_SC,1,4,2.0,3_IOAxCONF
ceio20vzn7,Case3,0_BL,1_SC,1,5,2.5,3_IOAxCONF
nuojvsrak4,Case3,0_BL,1_SC,1,6,3.0,3_IOAxCONF
vgsfvs23id,Case3,0_BL,1_SC,1,7,3.5,3_IOAxCONF
k81nionvca,Case3,0_BL,1_SC,1,8,4.0,3_IOAxCONF
u0e61zeiap,Case3,0_BL,1_SC,1,9,4.5,3_IOAxCONF
rxji52j2gp,Case3,0_BL,1_SC,1,10,5.0,3_IOAxCONF
tz3akpx8zf,Case3,0_BL,1_SC,1,11,5.5,3_IOAxCONF
ay9xpkvfkq,Case3,0_BL,1_SC,1,12,6.0,3_IOAxCONF
dhz81nhvnu,Case3,0_BL,1_SC,1,13,6.5,3_IOAxCONF
v6h0qhxezv,Case3,0_BL,1_SC,1,14,7.0,3_IOAxCONF
tfjkg475qi,Case3,0_BL,1_SC,1,15,7.5,3_IOAxCONF
nyhoddoted,Case3,0_BL,1_SC,1,16,8.0,3_IOAxCONF
qr4b9h5rfk,Case3,0_BL,0_AC,1,2,0.5,3_IOAxCONF
305smus3na,Case3,0_BL,1_SC,1,18,1.0,3_IOAxCONF
vx8357a2wu,Case3,0_BL,1_SC,1,19,1.5,3_IOAxCONF
rpef5nl8ky,Case3,0_BL,1_SC,1,20,2.0,3_IOAxCONF
2ahwij0p7v,Case3,0_BL,1_SC,1,21,2.5,3_IOAxCONF
3he8tyx9gc,Case3,0_BL,1_SC,1,22,3.0,3_IOAxCONF
w30gin0e3v,Case3,0_BL,0_AC,1,3,0.5,3_IOAxCONF
xzuoviw1k5,Case3,0_BL,1_SC,1,23,0.5,3_IOAxCONF
9b4dhcqlci,Case3,0_BL,1_SC,1,24,1.0,3_IOAxCONF
rzwhywcd4l,Case3,0_BL,1_SC,1,25,1.5,3_IOAxCONF
0jiez2d4jx,Case3,0_BL,1_SC,1,26,2.0,3_IOAxCONF
irjdgx069j,Case3,0_BL,0_AC,1,4,0.5,3_IOAxCONF
tpu1le2y24,Case1,0_BL,0_AC,1,1,0.5,3_IOAxCONF
4wfnryqwqr,Case1,0_BL,1_SC,1,1,0.5,3_IOAxCONF
76b6silt5i,Case1,0_BL,1_SC,1,2,1.0,3_IOAxCONF
zmp0lp9k1f,Case1,0_BL,1_SC,1,3,1.5,3_IOAxCONF
fezz3o4qcl,Case1,0_BL,1_SC,1,4,2.0,3_IOAxCONF
wfh37yc833,Case1,0_BL,1_SC,1,5,2.5,3_IOAxCONF
7o936qd290,Case1,0_BL,1_SC,1,6,3.0,3_IOAxCONF
f61mf134s8,Case1,0_BL,0_AC,1,2,0.5,3_IOAxCONF
zqpztu3q7m,Case1,0_BL,1_SC,1,7,0.5,3_IOAxCONF
nufa2j4q87,Case1,0_BL,1_SC,1,8,1.0,3_IOAxCONF
wh09w5y1rs,Case1,0_BL,1_SC,1,9,1.5,3_IOAxCONF
wn1ygertr5,Case1,0_BL,1_SC,1,10,2.0,3_IOAxCONF
ney3hgrhzn,Case1,0_BL,1_SC,1,11,2.5,3_IOAxCONF
grpy4vkmdw,Case1,0_BL,1_SC,1,12,3.0,3_IOAxCONF
z08uj7ac1w,Case1,0_BL,0_AC,1,3,0.5,3_IOAxCONF
9vaxpkqdjo,Case1,2_T2,1_SC,3,1,0.5,3_IOAxCONF
k7g0uooap7,Case1,2_T2,1_SC,3,2,1.0,3_IOAxCONF
o2wdtm4y2g,Case1,2_T2,1_SC,3,3,1.5,3_IOAxCONF
2xq3906fvt,Case1,2_T2,1_SC,3,4,2.0,3_IOAxCONF
vqh7gfxcey,Case1,2_T2,1_SC,3,5,2.5,3_IOAxCONF
u7tt56x4zn,Case1,2_T2,1_SC,3,6,3.0,3_IOAxCONF
mwwt50zvma,Case1,2_T2,1_SC,3,7,3.5,3_IOAxCONF
63c7z22k5i,Case1,2_T2,1_SC,3,8,4.0,3_IOAxCONF
77scmgllqe,Case1,2_T2,1_SC,3,9,4.5,3_IOAxCONF
yo3ske4qqn,Case1,2_T2,1_SC,3,10,5.0,3_IOAxCONF
omyuc8kvj5,Case1,2_T2,1_SC,3,11,5.5,3_IOAxCONF
tqd8io78y1,Case1,2_T2,1_SC,3,12,6.0,3_IOAxCONF
l9qcvrx9ff,Case1,2_T2,1_SC,3,13,6.5,3_IOAxCONF
dnokw51592,Case1,2_T2,1_SC,3,14,7.0,3_IOAxCONF
l4bnh1calr,Case1,2_T2,1_SC,3,15,7.5,3_IOAxCONF
gcxlocm6jn,Case1,2_T2,1_SC,3,16,8.0,3_IOAxCONF
9jzbe1om92,Case1,2_T2,1_SC,3,17,8.5,3_IOAxCONF
6ucigy2n12,Case1,2_T2,1_SC,3,18,9.0,3_IOAxCONF
nneqyyrric,Case1,2_T2,1_SC,3,19,9.5,3_IOAxCONF
jc1k7c9yem,Case1,2_T2,1_SC,3,20,10.0,3_IOAxCONF
c9o0v9ykd7,Case1,2_T2,1_SC,3,21,10.5,3_IOAxCONF
2qwvmm07ui,Case1,2_T2,1_SC,3,22,11.0,3_IOAxCONF
jjm57uwqzt,Case1,2_T2,1_SC,3,23,11.5,3_IOAxCONF
iahde57cm8,Case1,2_T2,1_SC,3,24,12.0,3_IOAxCONF
xfafelu310,Case1,2_T2,1_SC,3,25,12.5,3_IOAxCONF
ylwmempocs,Case1,2_T2,1_SC,3,26,13.0,3_IOAxCONF
5af6ra23cu,Case1,2_T2,1_SC,3,27,13.5,3_IOAxCONF
hj5bssexha,Case1,2_T2,1_SC,3,28,14.0,3_IOAxCONF
tdquvppn2k,Case1,2_T2,1_SC,3,29,14.5,3_IOAxCONF
o1n9nyvq1v,Case1,2_T2,1_SC,3,30,15.0,3_IOAxCONF
20biysgoz7,Case1,5_RTB,0_AC,7,1,0.5,3_IOAxCONF
8ie3mrou4h,Case1,5_RTB,0_AC,7,2,1.0,3_IOAxCONF
ezencmrird,Case1,5_RTB,0_AC,7,3,1.5,3_IOAxCONF
xd3xahzf81,Case3,3_T3,1_SC,4,1,0.5,3_IOAxCONF
rixk768iqu,Case3,3_T3,1_SC,4,2,1.0,3_IOAxCONF
k0ay8aucra,Case3,3_T3,1_SC,4,3,1.5,3_IOAxCONF
r8ruyihge5,Case3,3_T3,1_SC,4,4,2.0,3_IOAxCONF
m2oc7z1zit,Case3,3_T3,1_SC,4,5,2.5,3_IOAxCONF
73v7awwxz6,Case3,3_T3,1_SC,4,6,3.0,3_IOAxCONF
jve0bc8gh8,Case3,3_T3,1_SC,4,8,4.0,3_IOAxCONF
esxf9xbcco,Case3,3_T3,1_SC,4,9,4.5,3_IOAxCONF
zsydrua0kw,Case3,3_T3,1_SC,4,10,5.0,3_IOAxCONF
g3ustmig5t,Case3,3_T3,1_SC,4,11,5.5,3_IOAxCONF
7anv3ijurn,Case3,3_T3,1_SC,4,12,6.0,3_IOAxCONF
1dd4utxqq0,Case3,3_T3,0_AC,4,1,0.5,3_IOAxCONF
84c2e101cp,Case3,3_T3,0_AC,4,2,1.0,3_IOAxCONF
1fv3xh81bn,Case3,3_T3,0_AC,4,3,1.5,3_IOAxCONF
mftqsa41sf,Case3,2_T2,1_SC,3,1,0.5,3_IOAxCONF
b6s7qzxy89,Case3,2_T2,1_SC,3,4,2.0,3_IOAxCONF
33u71gj78q,Case3,2_T2,1_SC,3,6,3.0,3_IOAxCONF
l78puidwmz,Case3,2_T2,0_AC,3,1,0.5,3_IOAxCONF
assm964nzn,Case3,2_T2,0_AC,3,2,1.0,3_IOAxCONF
fos43axt8r,Case3,2_T2,0_AC,3,3,1.5,3_IOAxCONF
ea26882t36,Case2,5_RTB,1_SC,5,1,0.5,3_IOAxCONF
4p52jdcygg,Case2,5_RTB,1_SC,5,4,2.0,3_IOAxCONF
bk9wgqr4ul,Case2,5_RTB,1_SC,5,7,3.5,3_IOAxCONF
1ruj52dgun,Case2,5_RTB,0_AC,5,1,0.5,3_IOAxCONF
xmvhjmnp8d,Case1,5_RTB,1_SC,6,1,0.5,3_IOAxCONF
t74m72d6ox,Case1,5_RTB,1_SC,6,4,2.0,3_IOAxCONF
mpi2rm6b1i,Case1,5_RTB,1_SC,6,7,3.5,3_IOAxCONF
vws0jd4py3,Case3,1_T1,1_SC,2,1,0.5,3_IOAxCONF
uhz6scvrcf,Case3,1_T1,1_SC,2,4,2.0,3_IOAxCONF
wobjacr4f0,Case3,1_T1,1_SC,2,7,3.5,3_IOAxCONF
x6snutud2j,Case3,1_T1,1_SC,2,11,5.5,3_IOAxCONF
e9jw781c6q,Case3,1_T1,1_SC,2,14,7.0,3_IOAxCONF
9u24ug994x,Case3,1_T1,1_SC,2,17,8.5,3_IOAxCONF
g1p4exdh69,Case3,1_T1,1_SC,2,20,10.0,3_IOAxCONF
lihoshct35,Case3,1_T1,1_SC,2,23,11.5,3_IOAxCONF
ydcxk6f2tw,Case4,5_RTB,0_AC,2,1,0.5,3_IOAxCONF
vlkta0y9ks,Case4,5_RTB,0_AC,2,2,1.0,3_IOAxCONF
kv07tghq0x,Case4,5_RTB,0_AC,2,3,1.5,3_IOAxCONF
