Section,Cohen's Kappa,Percentage Agreement (%),Number of Observations,True Positive,False Positive,False Negative,True Negative,Total Agreement Count,Total Observation Count,Expected Agreement,P_o - P_e,1 - P_e,k
"CaregiverID Case1, StudyPhase 1_T1 - ConfMonitoring1 vs SelfMonitoring1",1.0,100.0,17,17,0,0,0,17,17,1.0,0.0,0.0,
"CaregiverID Case1, StudyPhase 1_T1 - ConfMonitoring2 vs SelfMonitoring2",1.0,100.0,17,17,0,0,0,17,17,1.0,0.0,0.0,
"CaregiverID Case1, StudyPhase 1_T1 - ConfMonitoring6 vs SelfMonitoring6",0.10526315789473684,52.94117647058824,17,8,8,0,1,9,17,0.4740484429065744,0.055363321799307974,0.5259515570934257,0.10526315789473686
"CaregiverID Case1, StudyPhase 1_T1 - ConfMonitoring6a_1 vs SelfMonitoring6a_1",0.0,70.58823529411765,17,12,5,0,0,12,17,0.7058823529411765,0.0,0.2941176470588235,0.0
"CaregiverID Case1, StudyPhase 1_T1 - ConfMonitoring6a_2 vs SelfMonitoring6a_2",0.0,76.47058823529412,17,13,4,0,0,13,17,0.7647058823529411,0.0,0.23529411764705888,0.0
"CaregiverID Case1, StudyPhase 1_T1 - ConfMonitoring6a_3 vs SelfMonitoring6a_3",0.0,88.23529411764706,17,15,2,0,0,15,17,0.8823529411764706,0.0,0.11764705882352944,0.0
"CaregiverID Case1, StudyPhase 2_T2 - ConfMonitoring3 vs SelfMonitoring3",0.0,54.285714285714285,35,19,16,0,0,19,35,0.5428571428571428,0.0,0.4571428571428572,0.0
"CaregiverID Case1, StudyPhase 2_T2 - ConfMonitoring4 vs SelfMonitoring4",0.09259259259259245,60.0,35,19,13,1,2,21,35,0.5591836734693877,0.04081632653061229,0.4408163265306123,0.09259259259259268
"CaregiverID Case1, StudyPhase 2_T2 - ConfMonitoring5 vs SelfMonitoring5",0.0,97.14285714285714,35,34,1,0,0,34,35,0.9714285714285714,0.0,0.02857142857142858,0.0
"CaregiverID Case1, StudyPhase 3_T3 - ConfMonitoring1 vs SelfMonitoring1",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case1, StudyPhase 3_T3 - ConfMonitoring2 vs SelfMonitoring2",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case1, StudyPhase 3_T3 - ConfMonitoring3 vs SelfMonitoring3",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case1, StudyPhase 3_T3 - ConfMonitoring4 vs SelfMonitoring4",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case1, StudyPhase 3_T3 - ConfMonitoring5 vs SelfMonitoring5",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case1, StudyPhase 3_T3 - ConfMonitoring6 vs SelfMonitoring6",0.33333333333333337,66.66666666666666,6,3,2,0,1,4,6,0.5,0.16666666666666652,0.5,0.33333333333333304
"CaregiverID Case1, StudyPhase 3_T3 - ConfMonitoring6a_1 vs SelfMonitoring6a_1",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case1, StudyPhase 3_T3 - ConfMonitoring6a_2 vs SelfMonitoring6a_2",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case1, StudyPhase 3_T3 - ConfMonitoring6a_3 vs SelfMonitoring6a_3",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 1_T1 - ConfMonitoring1 vs SelfMonitoring1",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 1_T1 - ConfMonitoring2 vs SelfMonitoring2",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 1_T1 - ConfMonitoring6 vs SelfMonitoring6",0.0,50.0,6,3,3,0,0,3,6,0.5,0.0,0.5,0.0
"CaregiverID Case2, StudyPhase 1_T1 - ConfMonitoring6a_1 vs SelfMonitoring6a_1",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 1_T1 - ConfMonitoring6a_2 vs SelfMonitoring6a_2",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 1_T1 - ConfMonitoring6a_3 vs SelfMonitoring6a_3",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 2_T2 - ConfMonitoring3 vs SelfMonitoring3",1.0,100.0,11,11,0,0,0,11,11,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 2_T2 - ConfMonitoring4 vs SelfMonitoring4",1.0,100.0,11,11,0,0,0,11,11,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 2_T2 - ConfMonitoring5 vs SelfMonitoring5",1.0,100.0,11,11,0,0,0,11,11,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 3_T3 - ConfMonitoring1 vs SelfMonitoring1",1.0,100.0,8,8,0,0,0,8,8,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 3_T3 - ConfMonitoring2 vs SelfMonitoring2",1.0,100.0,8,8,0,0,0,8,8,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 3_T3 - ConfMonitoring3 vs SelfMonitoring3",1.0,100.0,8,8,0,0,0,8,8,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 3_T3 - ConfMonitoring4 vs SelfMonitoring4",1.0,100.0,8,8,0,0,0,8,8,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 3_T3 - ConfMonitoring5 vs SelfMonitoring5",1.0,100.0,8,8,0,0,0,8,8,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 3_T3 - ConfMonitoring6 vs SelfMonitoring6",0.0,50.0,8,4,4,0,0,4,8,0.5,0.0,0.5,0.0
"CaregiverID Case2, StudyPhase 3_T3 - ConfMonitoring6a_1 vs SelfMonitoring6a_1",1.0,100.0,8,8,0,0,0,8,8,1.0,0.0,0.0,
"CaregiverID Case2, StudyPhase 3_T3 - ConfMonitoring6a_2 vs SelfMonitoring6a_2",0.0,87.5,8,7,1,0,0,7,8,0.875,0.0,0.125,0.0
"CaregiverID Case2, StudyPhase 3_T3 - ConfMonitoring6a_3 vs SelfMonitoring6a_3",1.0,100.0,8,8,0,0,0,8,8,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 1_T1 - ConfMonitoring1 vs SelfMonitoring1",1.0,100.0,26,26,0,0,0,26,26,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 1_T1 - ConfMonitoring2 vs SelfMonitoring2",1.0,100.0,26,26,0,0,0,26,26,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 1_T1 - ConfMonitoring6 vs SelfMonitoring6",0.9221556886227544,96.15384615384616,26,14,1,0,11,25,26,0.5059171597633136,0.4556213017751479,0.49408284023668636,0.9221556886227545
"CaregiverID Case3, StudyPhase 1_T1 - ConfMonitoring6a_1 vs SelfMonitoring6a_1",0.0,80.76923076923077,26,21,5,0,0,21,26,0.8076923076923077,0.0,0.1923076923076923,0.0
"CaregiverID Case3, StudyPhase 1_T1 - ConfMonitoring6a_2 vs SelfMonitoring6a_2",1.0,100.0,26,26,0,0,0,26,26,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 1_T1 - ConfMonitoring6a_3 vs SelfMonitoring6a_3",0.0,76.92307692307693,26,20,6,0,0,20,26,0.7692307692307693,1.1102230246251565e-16,0.23076923076923073,4.810966440042346e-16
"CaregiverID Case3, StudyPhase 2_T2 - ConfMonitoring3 vs SelfMonitoring3",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 2_T2 - ConfMonitoring4 vs SelfMonitoring4",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 2_T2 - ConfMonitoring5 vs SelfMonitoring5",1.0,100.0,6,6,0,0,0,6,6,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 3_T3 - ConfMonitoring1 vs SelfMonitoring1",1.0,100.0,12,12,0,0,0,12,12,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 3_T3 - ConfMonitoring2 vs SelfMonitoring2",1.0,100.0,12,12,0,0,0,12,12,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 3_T3 - ConfMonitoring3 vs SelfMonitoring3",0.0,91.66666666666666,12,11,1,0,0,11,12,0.9166666666666666,-1.1102230246251565e-16,0.08333333333333337,-1.3322676295501873e-15
"CaregiverID Case3, StudyPhase 3_T3 - ConfMonitoring4 vs SelfMonitoring4",1.0,100.0,12,12,0,0,0,12,12,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 3_T3 - ConfMonitoring5 vs SelfMonitoring5",1.0,100.0,12,12,0,0,0,12,12,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 3_T3 - ConfMonitoring6 vs SelfMonitoring6",1.0,100.0,12,6,0,0,6,12,12,0.5,0.5,0.5,1.0
"CaregiverID Case3, StudyPhase 3_T3 - ConfMonitoring6a_1 vs SelfMonitoring6a_1",0.0,91.66666666666666,12,11,1,0,0,11,12,0.9166666666666666,-1.1102230246251565e-16,0.08333333333333337,-1.3322676295501873e-15
"CaregiverID Case3, StudyPhase 3_T3 - ConfMonitoring6a_2 vs SelfMonitoring6a_2",1.0,100.0,12,12,0,0,0,12,12,1.0,0.0,0.0,
"CaregiverID Case3, StudyPhase 3_T3 - ConfMonitoring6a_3 vs SelfMonitoring6a_3",1.0,100.0,12,12,0,0,0,12,12,1.0,0.0,0.0,
