Section,Cohen's Kappa,Percentage Agreement (%),Number of Observations,True Positive,False Positive,False Negative,True Negative,Total Agreement Count,Total Observation Count,Expected Agreement,P_o - P_e,1 - P_e,k
1_T1 - ConfMonitoring1 vs SelfMonitoring1,1,100,49,49,0,0,0,49,49,1,0,0,
1_T1 - ConfMonitoring2 vs SelfMonitoring2,1,100,49,49,0,0,0,49,49,1,0,0,
1_T1 - ConfMonitoring6a_1 vs SelfMonitoring6a_1,0,79.59183673,49,39,10,0,0,39,49,0.795918367,-1.11E-16,0.204081633,-5.44E-16
1_T1 - ConfMonitoring6a_2 vs SelfMonitoring6a_2,0,91.83673469,49,45,4,0,0,45,49,0.918367347,1.11E-16,0.081632653,1.36E-15
1_T1 - ConfMonitoring6a_3 vs SelfMonitoring6a_3,0,83.67346939,49,41,8,0,0,41,49,0.836734694,0,0.163265306,0
1_T1 - Entire Set,0,91.02040816,245,223,22,0,0,223,245,0.910204082,1.11E-16,0.089795918,1.24E-15
2_T2 - ConfMonitoring3 vs SelfMonitoring3,0,69.23076923,52,36,16,0,0,36,52,0.692307692,0,0.307692308,0
2_T2 - ConfMonitoring4 vs SelfMonitoring4,0.139479905,73.07692308,52,36,13,1,2,38,52,0.687130178,0.043639053,0.312869822,0.139479905
2_T2 - ConfMonitoring5 vs SelfMonitoring5,0,98.07692308,52,51,1,0,0,51,52,0.980769231,-1.11E-16,0.019230769,-5.77E-15
2_T2 - Entire Set,0.082004556,80.12820513,156,123,30,1,2,125,156,0.783530572,0.017751479,0.216469428,0.082004556
3_T3 - ConfMonitoring1 vs SelfMonitoring1,1,100,26,26,0,0,0,26,26,1,0,0,
3_T3 - ConfMonitoring2 vs SelfMonitoring2,1,100,26,26,0,0,0,26,26,1,0,0,
3_T3 - ConfMonitoring3 vs SelfMonitoring3,0,96.15384615,26,25,1,0,0,25,26,0.961538462,0,0.038461538,0
3_T3 - ConfMonitoring4 vs SelfMonitoring4,1,100,26,26,0,0,0,26,26,1,0,0,
3_T3 - ConfMonitoring5 vs SelfMonitoring5,1,100,26,26,0,0,0,26,26,1,0,0,
3_T3 - ConfMonitoring6a_1 vs SelfMonitoring6a_1,0,96.15384615,26,25,1,0,0,25,26,0.961538462,0,0.038461538,0
3_T3 - ConfMonitoring6a_2 vs SelfMonitoring6a_2,0,96.15384615,26,25,1,0,0,25,26,0.961538462,0,0.038461538,0
3_T3 - ConfMonitoring6a_3 vs SelfMonitoring6a_3,1,100,26,26,0,0,0,26,26,1,0,0,
3_T3 - Entire Set,0,98.55769231,208,205,3,0,0,205,208,0.985576923,-1.11E-16,0.014423077,-7.70E-15
Omnibus - Entire Set,0.0578485,90.8045977,609,551,55,1,2,553,609,0.902399961,0.005646016,0.097600039,0.0578485
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Case1 - ConfMonitoring1 vs SelfMonitoring1,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1_T1 - ConfMonitoring1 vs SelfMonitoring1,ConfMonitoring1 vs SelfMonitoring1,,,,,,,,,,,,
1_T1 - ConfMonitoring2 vs SelfMonitoring2,ConfMonitoring2 vs SelfMonitoring2,,,,,,,,,,,,
1_T1 - ConfMonitoring6a_1 vs SelfMonitoring6a_1,ConfMonitoring6a_1 vs SelfMonitoring6a_1,,,,,,,,,,,,
1_T1 - ConfMonitoring6a_2 vs SelfMonitoring6a_2,ConfMonitoring6a_2 vs SelfMonitoring6a_2,,,,,,,,,,,,
1_T1 - ConfMonitoring6a_3 vs SelfMonitoring6a_3,ConfMonitoring6a_3 vs SelfMonitoring6a_3,,,,,,,,,,,,
1_T1 - Entire Set,,,,,,,,,,,,,
2_T2 - ConfMonitoring3 vs SelfMonitoring3,ConfMonitoring3 vs SelfMonitoring3,,,,,,,,,,,,
2_T2 - ConfMonitoring4 vs SelfMonitoring4,ConfMonitoring4 vs SelfMonitoring4,,,,,,,,,,,,
2_T2 - ConfMonitoring5 vs SelfMonitoring5,ConfMonitoring5 vs SelfMonitoring5,,,,,,,,,,,,
2_T2 - Entire Set,,,,,,,,,,,,,
3_T3 - ConfMonitoring1 vs SelfMonitoring1,ConfMonitoring1 vs SelfMonitoring1,,,,,,,,,,,,
3_T3 - ConfMonitoring2 vs SelfMonitoring2,ConfMonitoring2 vs SelfMonitoring2,,,,,,,,,,,,
3_T3 - ConfMonitoring3 vs SelfMonitoring3,ConfMonitoring3 vs SelfMonitoring3,,,,,,,,,,,,
3_T3 - ConfMonitoring4 vs SelfMonitoring4,ConfMonitoring4 vs SelfMonitoring4,,,,,,,,,,,,
3_T3 - ConfMonitoring5 vs SelfMonitoring5,,,,,,,,,,,,,
3_T3 - ConfMonitoring6a_1 vs SelfMonitoring6a_1,,,,,,,,,,,,,
3_T3 - ConfMonitoring6a_2 vs SelfMonitoring6a_2,,,,,,,,,,,,,
3_T3 - ConfMonitoring6a_3 vs SelfMonitoring6a_3,,,,,,,,,,,,,
3_T3 - Entire Set,,,,,,,,,,,,,
Omnibus - Entire Set,,,,,,,,,,,,,
