InstanceID_IOA,InstanceID_CARE,DateTimeStamp,Respondent,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,SessionBlockCount,SelfMonitoring1,SelfMonitoring2,SelfMonitoring3,SelfMonitoring4,SelfMonitoring5,SelfMonitoring6,SelfMonitoring6a_1,SelfMonitoring6a_2,SelfMonitoring6a_3,IOAMonitoring1,IOAMonitoring2,IOAMonitoring3,IOAMonitoring4,IOAMonitoring5,IOAMonitoring6,IOAMonitoring6a_1,IOAMonitoring6a_2,IOAMonitoring6a_3,IOAConfederateInteraction,IOAxCARE_Key
83jphwg4n3,8pixojvecd,2024-08-13T09:03:49-04:00,0_CARE,Case3,2_T2,1_SC,3,6,3,,,1,1,1,,,,,0,1,1,1,1,0,1,1,1,0,44
37po94yfh9,e2xpk6uyea,2024-08-07T09:36:16-04:00,0_CARE,Case3,1_T1,1_SC,2,1,0.5,1,1,,,,0,1,1,1,0,1,0,0,1,0,1,1,1,1,45
2ef79ggn0j,db92133qdh,2024-08-07T09:43:48-04:00,0_CARE,Case3,1_T1,1_SC,2,7,3.5,1,1,,,,1,1,1,1,0,1,0,0,1,1,1,1,0,0,47
ssh1t4owvj,dpi1l0y4v4,2024-08-07T09:48:42-04:00,0_CARE,Case3,1_T1,1_SC,2,11,5.5,1,1,,,,0,1,1,1,0,1,0,0,1,0,1,1,1,0,48
8vur3c0n9e,aynncxlb59,2024-08-07T09:56:22-04:00,0_CARE,Case3,1_T1,1_SC,2,17,8.5,1,1,,,,1,1,1,1,0,1,0,0,1,1,0,1,1,0,50
hrdysp4y71,6i9ei5keqi,2024-08-07T10:00:23-04:00,0_CARE,Case3,1_T1,1_SC,2,20,10,1,1,,,,1,1,1,1,0,1,1,1,1,1,0,1,1,0,51
lqhfah8avf,jbq12keg6e,2024-08-07T10:04:08-04:00,0_CARE,Case3,1_T1,1_SC,2,23,11.5,1,1,,,,1,1,1,1,0,1,0,0,1,1,1,1,1,0,52
lg3jm7u9y2,k7eqgjr1qd,2024-08-08T10:07:09-04:00,0_CARE,Case1,2_T2,1_SC,3,1,0.5,,,1,1,1,,,,,1,1,1,0,1,1,0,1,1,0,1
6k6s3bu510,ppjmtwz8m8,2024-08-08T10:08:13-04:00,0_CARE,Case1,2_T2,1_SC,3,2,1,,,1,1,1,,,,,1,1,0,0,1,0,0,0,1,0,2
scpiain4xl,zghd1m82d9,2024-08-08T10:09:28-04:00,0_CARE,Case1,2_T2,1_SC,3,3,1.5,,,1,1,1,,,,,1,1,0,0,1,1,0,1,1,0,3
si6c6fsnir,0pdyum6h4a,2024-08-08T10:10:24-04:00,0_CARE,Case1,2_T2,1_SC,3,4,2,,,1,1,1,,,,,1,1,0,0,1,0,0,1,1,0,4
5y0bn6u2ew,2dmnosc3or,2024-08-08T10:12:15-04:00,0_CARE,Case1,2_T2,1_SC,3,5,2.5,,,1,1,1,,,,,1,1,1,0,1,0,1,1,1,0,5
ugqlglg8o0,u0l91fxfeu,2024-08-08T10:13:18-04:00,0_CARE,Case1,2_T2,1_SC,3,6,3,,,1,1,1,,,,,1,1,1,0,1,1,1,1,1,0,6
lgcbdih7g4,2wun2e4ikf,2024-08-08T10:14:27-04:00,0_CARE,Case1,2_T2,1_SC,3,7,3.5,,,1,1,1,,,,,1,1,1,0,1,0,1,1,1,0,7
3lbou8hk69,l5j7rvaheg,2024-08-08T10:15:39-04:00,0_CARE,Case1,2_T2,1_SC,3,8,4,,,1,1,1,,,,,1,1,0,0,1,1,1,1,1,0,8
