Key,DateTimeStamp,CaregiverID,StudyPhase,SessionType,SessionCount,TotalSessionTrials,SessionBlockCount,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3
1,2024-08-06T10:11:30-04:00,Case1,0_BL,0_AC,1,1,0.5,1,1,0,0,1,0,1,0
2,2024-08-06T10:16:49-04:00,Case1,0_BL,1_SC,1,1,0.5,1,1,0,0,1,0,0,1
3,2024-08-06T10:18:11-04:00,Case1,0_BL,1_SC,1,2,1,1,1,0,0,1,0,1,1
4,2024-08-06T10:19:27-04:00,Case1,0_BL,1_SC,1,3,1.5,1,1,0,0,1,0,1,1
5,2024-08-06T10:21:08-04:00,Case1,0_BL,1_SC,1,4,2,1,1,0,1,1,0,1,1
6,2024-08-06T10:22:56-04:00,Case1,0_BL,1_SC,1,5,2.5,1,1,0,0,1,0,0,1
7,2024-08-06T10:25:16-04:00,Case1,0_BL,1_SC,1,6,3,1,1,0,1,1,0,1,1
8,2024-08-06T10:35:59-04:00,Case1,0_BL,0_AC,1,1,0.5,1,1,0,0,0,0,1,1
9,2024-08-06T10:39:34-04:00,Case1,0_BL,1_SC,1,1,0.5,1,1,0,0,1,0,1,1
10,2024-08-06T10:41:41-04:00,Case1,0_BL,1_SC,1,2,1,1,1,0,0,1,0,0,1
11,2024-08-06T10:43:28-04:00,Case1,0_BL,1_SC,1,3,1.5,1,1,0,0,1,0,0,1
12,2024-08-06T10:44:50-04:00,Case1,0_BL,1_SC,1,4,2,1,1,0,0,1,0,1,1
13,2024-08-06T10:46:34-04:00,Case1,0_BL,1_SC,1,5,2.5,1,1,0,0,0,0,1,1
14,2024-08-06T10:48:31-04:00,Case1,0_BL,1_SC,1,6,3,1,1,0,0,1,0,0,1
15,2024-08-06T10:53:19-04:00,Case1,0_BL,0_AC,1,1,0.5,1,1,0,0,1,0,1,1
16,2024-08-06T12:10:55-04:00,Case1,0_BL,0_AC,1,1,0.5,0,0,0,0,0,0,0,0
17,2024-08-06T12:16:47-04:00,Case1,0_BL,1_SC,1,1,0.5,0,0,0,0,0,0,0,0
18,2024-08-06T12:18:58-04:00,Case1,0_BL,1_SC,1,2,1,0,0,0,0,0,0,0,0
19,2024-08-06T12:20:36-04:00,Case1,0_BL,1_SC,1,3,1.5,0,0,0,0,0,0,0,0
20,2024-08-06T12:22:07-04:00,Case1,0_BL,1_SC,1,4,2,0,0,0,0,0,0,0,0
21,2024-08-06T12:23:44-04:00,Case1,0_BL,1_SC,1,5,2.5,0,0,0,0,0,0,0,0
22,2024-08-06T12:25:17-04:00,Case1,0_BL,1_SC,1,6,3,0,0,0,0,0,0,0,0
