InstanceID,DateTimeStamp,Respondent,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,SessionBlockCount,SelfMonitoring1,SelfMonitoring2,SelfMonitoring3,SelfMonitoring4,SelfMonitoring5,SelfMonitoring6a_1,SelfMonitoring6a_2,SelfMonitoring6a_3,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3,ConfConfederateInteraction,ConfTrialNote,IOAMonitoring1,IOAMonitoring2,IOAMonitoring3,IOAMonitoring4,IOAMonitoring5,IOAMonitoring6a_1,IOAMonitoring6a_2,IOAMonitoring6a_3,IOAConfederateInteraction,IOATrialNote,IOAxCARE_Key,CONFxCARE_Key,IOAxCONF_Key,CONFxCARExIOA_Key,Monitoring1,Monitoring2,Monitoring3,Monitoring4,Monitoring5,Monitoring6a_1,Monitoring6a_2,Monitoring6a_3
p3h2noxcwo,2024-08-06 12:10:55-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1.0,1.0,0.5,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Prompted to push button,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,"""I like how you're helping"" (not 100% if this is task-specific)",<NA>,<NA>,1,<NA>,B,A,D,D,A,D,A,D
8c3dazi3qu,2024-08-06 12:16:47-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,1.0,0.5,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,Further clarification on task from confederate,<NA>,<NA>,2,<NA>,B,A,D,D,A,D,A,D
bzpgcj844i,2024-08-06 12:18:58-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,2.0,1.0,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Mentioned random assignment ,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,"Further explanation by confederate on when he will/not comply (""It's automated"") 9:05",<NA>,<NA>,3,<NA>,B,A,D,D,C,D,D,B
5323y3y8fp,2024-08-06 12:20:36-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,3.0,1.5,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,nan,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0,nan,<NA>,<NA>,4,<NA>,B,A,D,D,A,D,D,A
zom6it7q6a,2024-08-06 12:22:07-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,4.0,2.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,5,<NA>,B,A,D,B,A,D,A,D
zp2oqbs26n,2024-08-06 12:23:44-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,5.0,2.5,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Cited my own phone use,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1,Confederate said he forgot what he was supposed to do 14:15,<NA>,<NA>,6,<NA>,B,A,D,B,A,A,A,A
3bjywc7ujz,2024-08-06 12:25:17-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,6.0,3.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,Caregiver noted something she would typically do different with AC 16:20,<NA>,<NA>,7,<NA>,B,A,D,B,A,D,A,D
xmwo3ksvlr,2024-08-06 12:26:54-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,7.0,3.5,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,Joke about being old and having to get on the ground 17:45,<NA>,<NA>,8,<NA>,A,A,D,B,A,D,A,D
n6ug7xzlvn,2024-08-06 12:28:26-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,8.0,4.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,9,<NA>,B,A,D,B,A,D,A,D
sdpw089q9q,2024-08-06 12:29:43-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,9.0,4.5,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,10,<NA>,B,A,D,B,A,D,A,D
pzsi25ii78,2024-08-06 12:31:29-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,10.0,5.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,Forgot blanket,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1,Caregiver asked confederate to get blanket 21:35,<NA>,<NA>,11,<NA>,B,A,D,B,A,D,C,B
jauk391j4r,2024-08-06 12:33:30-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,11.0,5.5,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,"Was a no comply, wasn't sure of task, she took it as a compliant",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,12,<NA>,B,A,D,B,A,D,A,D
a4knedjuvn,2024-08-06 12:34:59-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,12.0,6.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,13,<NA>,B,A,D,B,A,D,A,D
59z28789f8,2024-08-06 12:42:01-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1.0,2.0,0.5,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,Requested to have placement on floor,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,14,<NA>,A,A,D,B,A,D,A,D
jqtcx1bw9u,2024-08-06 12:44:35-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,13.0,0.5,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,15,<NA>,A,A,D,B,A,D,A,D
sv1ln9v67n,2024-08-06 12:46:18-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,14.0,1.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,Should have been a no comply **Addressed 2024.09.16**,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,16,<NA>,B,A,D,B,A,D,A,D
ox85op7a90,2024-08-06 12:47:31-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,15.0,1.5,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,nan,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,nan,<NA>,<NA>,17,<NA>,A,A,D,B,A,A,A,A
vreldn5mvu,2024-08-06 12:51:02-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,16.0,2.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,18,<NA>,A,A,D,B,A,D,A,D
h1jnbdx1lz,2024-08-06 12:52:49-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1.0,3.0,0.5,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,child got distracted on the way to comply with demand 43:00,<NA>,<NA>,19,<NA>,A,A,D,B,A,D,A,D
yq71aj4ndb,2024-08-06 12:55:27-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,17.0,0.5,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,nan,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0,"child stayed in room, didn't seem to have impact on caregiver's behavior though",<NA>,<NA>,20,<NA>,A,A,D,B,A,C,C,A
tag1fa0kp1,2024-08-06 12:56:51-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1.0,18.0,1.0,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,nan,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,21,<NA>,A,A,D,B,A,D,A,D
1lv6uae4sw,2024-08-06 13:00:31-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1.0,4.0,0.5,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,nan,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,nan,<NA>,<NA>,22,<NA>,A,A,D,B,A,D,A,D
j8lu5vx9rx,2024-08-06 14:09:05-04:00,3_IOAxCONF,Case3,0_BL,0_AC,1.0,1.0,0.5,,,,,,,,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,Some smiles when the child took a moment,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,"Child struggled with completing the task, and got distracted a few times 1:00",<NA>,<NA>,23,<NA>,B,C,D,D,A,C,A,D
