InstanceID,EventNote,DateTimeStamp:,ResponseIDx,Respondent,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,SessionBlockCount,TrialDirection,CareDirStart,CareDirEnd,SelfMonitoring1,SelfMonitoring2,SelfMonitoring3,SelfMonitoring4,SelfMonitoring5,SelfMonitoring6,SelfMonitoring6a_1,SelfMonitoring6a_2,SelfMonitoring6a_3,ConfResponse,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3,ConfChildResponse,ConfederateInteraction,ConfTrialNote,ConfSessionNote,IOAVideoName,IOAMonitoring1,IOAMonitoring2,IOAMonitoring3,IOAMonitoring4,IOAMonitoring5,IOAMonitoring6,IOAMonitoring6a_1,IOAMonitoring6a_2,IOAMonitoring6a_3,IOAChildResponse,IOAConfederateInteraction,IOATrialNote,IOASessionNote,IOAxCARE_Key,CONFxCARE_Key,IOAxCONF_Key,CONFxCARExIOA_Key
vws0jd4py3,3.0_Conf_TX_SC_TrialComplete,2024-08-07T09:36:05-04:00,R_5l4bpwuQ5SGDNAJ,1_CONF,Case3,1_T1,1_SC,2,1,0.5,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1_PO,1.0,Sent wrong guide. **Addressed 2024.09.16**,,,,,,,,,,,,,,,,,1.0,134.0,1.0
37po94yfh9,3.0_IOA_TrialComplete,2024-10-15T12:22:43-04:00,IOA-TrackingSession4,2_IOA,Case3,1_T1,1_SC,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case3_1_T1.MOV ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1_PO,1.0,Looked like some technical difficulties that had to be navigated (1:00),,45.0,,134.0,1.0
e2xpk6uyea,3.0_Care_T1_SC_TrialComplete,2024-08-07T09:36:16-04:00,R_59nsBxI3QvL3KCJ,0_CARE,Case3,1_T1,1_SC,2,1,0.5,,2024-08-07T09:35:09-04:00,2024-08-07T09:35:34-04:00,1.0,1.0,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,1.0,,1.0
uhz6scvrcf,3.0_Conf_TX_SC_TrialComplete,2024-08-07T09:40:13-04:00,R_5l4bpwuQ5SGDNAJ,1_CONF,Case3,1_T1,1_SC,2,4,2.0,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1_PO,0.0,,,,,,,,,,,,,,,,,,4.0,135.0,2.0
x924pt7327,3.0_IOA_TrialComplete,2024-10-15T12:25:12-04:00,IOA-TrackingSession4,2_IOA,Case3,1_T1,1_SC,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case3_1_T1.MOV ,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1_PO,0.0,,,46.0,,135.0,2.0
zyqwop1bol,3.0_Care_T1_SC_TrialComplete,2024-08-07T09:40:05-04:00,R_59nsBxI3QvL3KCJ,0_CARE,Case3,1_T1,1_SC,2,4,2.0,,2024-08-07T09:39:08-04:00,2024-08-07T09:39:33-04:00,1.0,1.0,,,,0.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,4.0,,2.0
wobjacr4f0,3.0_Conf_TX_SC_TrialComplete,2024-08-07T09:43:56-04:00,R_5l4bpwuQ5SGDNAJ,1_CONF,Case3,1_T1,1_SC,2,7,3.5,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0_CO,0.0,,,,,,,,,,,,,,,,,,7.0,136.0,3.0
2ef79ggn0j,3.0_IOA_TrialComplete,2024-10-15T12:26:34-04:00,IOA-TrackingSession4,2_IOA,Case3,1_T1,1_SC,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case3_1_T1.MOV ,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0_CO,0.0,,,47.0,,136.0,3.0
db92133qdh,3.0_Care_T1_SC_TrialComplete,2024-08-07T09:43:48-04:00,R_59nsBxI3QvL3KCJ,0_CARE,Case3,1_T1,1_SC,2,7,3.5,,2024-08-07T09:42:58-04:00,2024-08-07T09:43:30-04:00,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,7.0,,3.0
x6snutud2j,3.0_Conf_TX_SC_TrialComplete,2024-08-07T09:48:46-04:00,R_5l4bpwuQ5SGDNAJ,1_CONF,Case3,1_T1,1_SC,2,11,5.5,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1_PO,0.0,,,,,,,,,,,,,,,,,,11.0,137.0,4.0
