Monitoring1,Monitoring2,Monitoring3,Monitoring4,Monitoring5,Monitoring6,Monitoring7,Monitoring8,Matrix_A,Matrix_B,Matrix_C,Matrix_D,AD_Count,ABCD_Count,P_o
D,1.0,0.0,0.0,1.0,0.0,1.0,0.0,7,1,0,7,7,8,0.875
,,,,,,,,0,0,0,0,0,0,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,8,8,8,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,8,8,8,1.0
,,,,,,,,0,0,0,0,0,0,
1.0,1.0,D,D,1.0,1.0,1.0,1.0,6,2,0,6,6,8,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,8,8,8,1.0
1.0,1.0,D,D,1.0,1.0,1.0,1.0,6,2,0,6,6,8,0.75
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,8,8,8,1.0
1.0,1.0,1.0,1.0,D,1.0,1.0,1.0,7,1,0,7,7,8,0.875
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,8,8,8,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,8,8,8,1.0
1.0,1.0,1.0,1.0,D,1.0,1.0,1.0,7,1,0,7,7,8,0.875
,,,,,,,,0,0,0,0,0,0,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,8,8,8,1.0
1.0,1.0,D,1.0,1.0,D,1.0,1.0,6,2,0,6,6,8,0.75
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,8,8,8,1.0
D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1,0,7,7,8,0.875
,,,,,,,,0,0,0,0,0,0,
D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1,0,7,7,8,0.875
D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1,0,7,7,8,0.875
D,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,1,0,7,7,8,0.875
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8,0,0,8,8,8,1.0
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,8,0,0,8,8,8,1.0
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
1.0,1.0,0.0,D,1.0,1.0,1.0,1.0,7,1,0,7,7,8,0.875
,,,,,,,,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,
