InstanceID,EventNote,DateTimeStamp:,ResponseIDx,Respondent,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,SessionBlockCount,TrialDirection,CareDirStart,CareDirEnd,SelfMonitoring1,SelfMonitoring2,SelfMonitoring3,SelfMonitoring4,SelfMonitoring5,SelfMonitoring6,SelfMonitoring6a_1,SelfMonitoring6a_2,SelfMonitoring6a_3,ConfResponse,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3,ConfChildResponse,ConfederateInteraction,ConfTrialNote,ConfSessionNote,IOAVideoName,IOAMonitoring1,IOAMonitoring2,IOAMonitoring3,IOAMonitoring4,IOAMonitoring5,IOAMonitoring6,IOAMonitoring6a_1,IOAMonitoring6a_2,IOAMonitoring6a_3,IOAChildResponse,IOAConfederateInteraction,IOATrialNote,IOASessionNote,IOAxCARE_Key,CONFxCARE_Key,IOAxCONF_Key,CONFxCARExIOA_Key
p3h2noxcwo,3.0_Conf_TX_SC_TrialComplete,2024-08-06T12:10:55-04:00,R_33g9k5BC3tv4nfV,1_CONF,Case2,0_BL,0_AC,1,1,0.5,,,,,,,,,,,,,,1,1,0,0,1,1,0,1,0,0_CO,1,Prompted to push button,,,,,,,,,,,,,,,,,,1,
u7j410wvbo,3.0_IOA_TrialComplete,2024-09-16T15:54:43-04:00,IOA-TrackingSession1,2_IOA,Case2,0_BL,0_AC,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case2_1_BL_1.MOV,0,1,0,0,1,1,0,1,0,0_CO,0,"""I like how you're helping"" (not 100% if this is task-specific)",,,,1,
8c3dazi3qu,3.0_Conf_TX_SC_TrialComplete,2024-08-06T12:16:47-04:00,R_570X9J1UdvvNuWK,1_CONF,Case2,0_BL,1_SC,1,1,0.5,,,,,,,,,,,,,,1,1,0,0,1,1,0,1,0,0_CO,0,,,,,,,,,,,,,,,,,,,2,
8gmo86esfd,3.0_IOA_TrialComplete,2024-09-16T15:59:44-04:00,IOA-TrackingSession1,2_IOA,Case2,0_BL,1_SC,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case2_1_BL_1.MOV,0,1,0,0,1,1,0,1,0,0_CO,1,Further clarification on task from confederate,,,,2,
bzpgcj844i,3.0_Conf_TX_SC_TrialComplete,2024-08-06T12:18:58-04:00,R_570X9J1UdvvNuWK,1_CONF,Case2,0_BL,1_SC,1,2,1,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,1,1_PO,1,Mentioned random assignment ,,,,,,,,,,,,,,,,,,3,
bxe7tfs2qu,3.0_IOA_TrialComplete,2024-09-16T16:02:56-04:00,IOA-TrackingSession1,2_IOA,Case2,0_BL,1_SC,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case2_1_BL_1.MOV,0,1,0,0,1,0,0,0,0,1_PO,1,"Further explanation by confederate on when he will/not comply (""It's automated"") 9:05",,,,3,
5323y3y8fp,3.0_Conf_TX_SC_TrialComplete,2024-08-06T12:20:36-04:00,R_570X9J1UdvvNuWK,1_CONF,Case2,0_BL,1_SC,1,3,1.5,,,,,,,,,,,,,,1,1,0,0,1,0,0,0,1,1_PO,0,,,,,,,,,,,,,,,,,,,4,
x4dw78jy50,3.0_IOA_TrialComplete,2024-09-16T16:05:53-04:00,IOA-TrackingSession1,2_IOA,Case2,0_BL,1_SC,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case2_1_BL_1.MOV,0,1,0,0,1,0,0,0,1,2_PC,0,,,,,4,
zom6it7q6a,3.0_Conf_TX_SC_TrialComplete,2024-08-06T12:22:07-04:00,R_570X9J1UdvvNuWK,1_CONF,Case2,0_BL,1_SC,1,4,2,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,0,0_CO,0,,,,,,,,,,,,,,,,,,,5,
awgsshyh5x,3.0_IOA_TrialComplete,2024-09-16T16:07:02-04:00,IOA-TrackingSession1,2_IOA,Case2,0_BL,1_SC,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,Case2_1_BL_1.MOV,0,1,0,0,1,1,0,1,0,0_CO,0,,,,,5,
