IOAxCONF_Key,InstanceID,DateTimeStamp,Respondent,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,ConfConfederateInteraction,IOAConfederateInteraction
57,0jiez2d4jx,2024-08-06 14:55:58-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,26,0,0
118,1dd4utxqq0,2024-08-14 09:15:50-04:00,3_IOAxCONF,Case3,3_T3,0_AC,4,1,0,0
120,1fv3xh81bn,2024-08-14 09:17:05-04:00,3_IOAxCONF,Case3,3_T3,0_AC,4,3,0,0
22,1lv6uae4sw,2024-08-06 13:00:31-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1,4,0,0
130,1ruj52dgun,2024-08-14 09:57:47-04:00,3_IOAxCONF,Case2,5_RTB,0_AC,5,1,0,0
104,20biysgoz7,2024-08-19 11:02:31-04:00,3_IOAxCONF,Case1,5_RTB,0_AC,7,1,0,0
51,2ahwij0p7v,2024-08-06 14:45:11-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,21,0,0
95,2qwvmm07ui,2024-08-08 10:36:47-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,22,0,1
77,2xq3906fvt,2024-08-08 10:10:45-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,4,0,0
48,305smus3na,2024-08-06 14:41:21-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,18,0,0
123,33u71gj78q,2024-08-13 09:03:54-04:00,3_IOAxCONF,Case3,2_T2,1_SC,3,6,0,0
7,3bjywc7ujz,2024-08-06 12:25:17-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,6,0,0
52,3he8tyx9gc,2024-08-06 14:46:18-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,22,0,0
128,4p52jdcygg,2024-08-14 09:48:49-04:00,3_IOAxCONF,Case2,5_RTB,1_SC,5,4,0,0
60,4wfnryqwqr,2024-08-06 10:16:49-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,1,0,1
4,5323y3y8fp,2024-08-06 12:20:36-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,3,0,0
14,59z28789f8,2024-08-06 12:42:01-04:00,3_IOAxCONF,Case2,0_BL,0_AC,1,2,1,0
100,5af6ra23cu,2024-08-08 10:43:38-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,27,0,0
81,63c7z22k5i,2024-08-08 10:15:45-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,8,0,0
91,6ucigy2n12,2024-08-08 10:28:23-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,18,0,0
112,73v7awwxz6,2024-08-14 09:05:59-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,6,0,0
61,76b6silt5i,2024-08-06 10:18:11-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,2,0,0
82,77scmgllqe,2024-08-08 10:16:57-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,9,0,0
117,7anv3ijurn,2024-08-14 09:10:44-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,12,0,0
25,7o69hq0dlj,2024-08-06 14:15:16-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,2,1,0
65,7o936qd290,2024-08-06 10:25:16-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,6,0,0
119,84c2e101cp,2024-08-14 09:16:28-04:00,3_IOAxCONF,Case3,3_T3,0_AC,4,2,0,0
2,8c3dazi3qu,2024-08-06 12:16:47-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,1,0,1
105,8ie3mrou4h,2024-08-19 11:03:13-04:00,3_IOAxCONF,Case1,5_RTB,0_AC,7,2,1,0
55,9b4dhcqlci,2024-08-06 14:53:27-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,24,0,0
90,9jzbe1om92,2024-08-08 10:27:09-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,17,1,0
139,9u24ug994x,2024-08-07 09:56:24-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,17,0,0
74,9vaxpkqdjo,2024-08-08 10:07:20-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,1,0,0
13,a4knedjuvn,2024-08-06 12:34:59-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,12,0,0
125,assm964nzn,2024-08-13 09:12:32-04:00,3_IOAxCONF,Case3,2_T2,0_AC,3,2,0,0
38,ay9xpkvfkq,2024-08-06 14:27:32-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,12,0,0
122,b6s7qzxy89,2024-08-13 09:02:21-04:00,3_IOAxCONF,Case3,2_T2,1_SC,3,4,0,0
129,bk9wgqr4ul,2024-08-14 09:51:40-04:00,3_IOAxCONF,Case2,5_RTB,1_SC,5,7,0,0
3,bzpgcj844i,2024-08-06 12:18:58-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,2,1,1
94,c9o0v9ykd7,2024-08-08 10:36:02-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,21,0,0
28,ceio20vzn7,2024-08-06 14:18:58-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,5,0,0
39,dhz81nhvnu,2024-08-06 14:28:58-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,13,1,1
87,dnokw51592,2024-08-08 10:23:27-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,14,0,0
138,e9jw781c6q,2024-08-07 09:52:50-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,14,0,0
127,ea26882t36,2024-08-14 09:46:20-04:00,3_IOAxCONF,Case2,5_RTB,1_SC,5,1,1,0
114,esxf9xbcco,2024-08-14 09:08:28-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,9,0,0
106,ezencmrird,2024-08-19 11:04:11-04:00,3_IOAxCONF,Case1,5_RTB,0_AC,7,3,0,0
