Section,Cohen's Kappa,Percentage Agreement (%),Number of Observations,True Positive,False Positive,False Negative,True Negative,Total Agreement Count,Total Observation Count,Expected Agreement,P_o - P_e,1 - P_e,k
ConfMonitoring1 vs SelfMonitoring1,1.0,100.0,75,75,0,0,0,75,75,1.0,0.0,0.0,
ConfMonitoring2 vs SelfMonitoring2,1.0,100.0,75,75,0,0,0,75,75,1.0,0.0,0.0,
ConfMonitoring3 vs SelfMonitoring3,0.0,78.2051282051282,78,61,17,0,0,61,78,0.782051282051282,0.0,0.21794871794871795,0.0
ConfMonitoring4 vs SelfMonitoring4,0.16894977168949776,82.05128205128204,78,62,13,1,2,64,78,0.7840236686390533,0.03648915187376722,0.21597633136094674,0.16894977168949757
ConfMonitoring5 vs SelfMonitoring5,0.0,98.71794871794873,78,77,1,0,0,77,78,0.9871794871794872,1.1102230246251565e-16,0.012820512820512775,8.659739592076253e-15
ConfMonitoring6 vs SelfMonitoring6,0.5168217609162491,76.0,75,38,18,0,19,57,75,0.5032888888888889,0.2567111111111111,0.4967111111111111,0.5168217609162491
ConfMonitoring6a_1 vs SelfMonitoring6a_1,0.0,85.33333333333334,75,64,11,0,0,64,75,0.8533333333333334,0.0,0.1466666666666666,0.0
ConfMonitoring6a_2 vs SelfMonitoring6a_2,0.0,93.33333333333333,75,70,5,0,0,70,75,0.9333333333333333,-1.1102230246251565e-16,0.06666666666666665,-1.6653345369377352e-15
ConfMonitoring6a_3 vs SelfMonitoring6a_3,0.0,89.33333333333333,75,67,8,0,0,67,75,0.8933333333333333,0.0,0.10666666666666669,0.0
Entire Set,0.3269864907988512,89.18128654970761,684,589,73,1,21,610,684,0.8392496836633493,0.05256318183372677,0.1607503163366507,0.3269864907988519
