Section,Cohen's Kappa,Percentage Agreement (%),Number of Observations,True Positive,False Positive,False Negative,True Negative,Total Agreement Count,Total Observation Count,Expected Agreement
1_T1 - ConfMonitoring1 vs SelfMonitoring1,1.0,100.0,49,49,0,0,0,49,49,1.0
1_T1 - ConfMonitoring2 vs SelfMonitoring2,1.0,100.0,49,49,0,0,0,49,49,1.0
1_T1 - ConfMonitoring6a_1 vs SelfMonitoring6a_1,0.0,79.59183673469387,49,39,10,0,0,39,49,0.7959183673469388
1_T1 - ConfMonitoring6a_2 vs SelfMonitoring6a_2,0.0,91.83673469387756,49,45,4,0,0,45,49,0.9183673469387755
1_T1 - ConfMonitoring6a_3 vs SelfMonitoring6a_3,0.0,83.6734693877551,49,41,8,0,0,41,49,0.8367346938775511
1_T1 - Entire Set,0.0,91.02040816326532,245,223,22,0,0,223,245,0.9102040816326531
2_T2 - ConfMonitoring3 vs SelfMonitoring3,0.0,69.23076923076923,52,36,16,0,0,36,52,0.6923076923076923
2_T2 - ConfMonitoring4 vs SelfMonitoring4,0.13947990543735234,73.07692307692307,52,36,13,1,2,38,52,0.687130177514793
2_T2 - ConfMonitoring5 vs SelfMonitoring5,0.0,98.07692307692307,52,51,1,0,0,51,52,0.9807692307692307
2_T2 - Entire Set,0.08200455580865595,80.12820512820514,156,123,30,1,2,125,156,0.7835305719921104
3_T3 - ConfMonitoring1 vs SelfMonitoring1,1.0,100.0,26,26,0,0,0,26,26,1.0
3_T3 - ConfMonitoring2 vs SelfMonitoring2,1.0,100.0,26,26,0,0,0,26,26,1.0
3_T3 - ConfMonitoring3 vs SelfMonitoring3,0.0,96.15384615384616,26,25,1,0,0,25,26,0.9615384615384616
3_T3 - ConfMonitoring4 vs SelfMonitoring4,1.0,100.0,26,26,0,0,0,26,26,1.0
3_T3 - ConfMonitoring5 vs SelfMonitoring5,1.0,100.0,26,26,0,0,0,26,26,1.0
3_T3 - ConfMonitoring6a_1 vs SelfMonitoring6a_1,0.0,96.15384615384616,26,25,1,0,0,25,26,0.9615384615384616
3_T3 - ConfMonitoring6a_2 vs SelfMonitoring6a_2,0.0,96.15384615384616,26,25,1,0,0,25,26,0.9615384615384616
3_T3 - ConfMonitoring6a_3 vs SelfMonitoring6a_3,1.0,100.0,26,26,0,0,0,26,26,1.0
3_T3 - Entire Set,0.0,98.5576923076923,208,205,3,0,0,205,208,0.9855769230769231
Omnibus - Entire Set,0.05784849991712249,90.80459770114942,609,551,55,1,2,553,609,0.9023999611735302
