InstanceID_CONF,InstanceID_CARE,DateTimeStamp,Respondent,CONFxCARE_Key,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,SelfMonitoring1,SelfMonitoring2,SelfMonitoring3,SelfMonitoring4,SelfMonitoring5,SelfMonitoring6,SelfMonitoring6a_1,SelfMonitoring6a_2,SelfMonitoring6a_3,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3
vws0jd4py3,e2xpk6uyea,2024-08-07T09:36:16-04:00,7_CONFxCARE,1,Case3,1_T1,1_SC,2,1,1,1,,,,0,1,1,1,1,1,0,0,1,0,1,1,1
40ak3djufz,itxw4jrm38,2024-08-07T09:37:10-04:00,7_CONFxCARE,2,Case3,1_T1,1_SC,2,2,1,1,,,,1,1,1,1,1,1,0,0,1,1,0,1,0
8r6lv291ff,o06mztpbx5,2024-08-07T09:38:51-04:00,7_CONFxCARE,3,Case3,1_T1,1_SC,2,3,1,1,,,,1,1,1,1,1,1,0,1,1,1,0,1,0
uhz6scvrcf,zyqwop1bol,2024-08-07T09:40:05-04:00,7_CONFxCARE,4,Case3,1_T1,1_SC,2,4,1,1,,,,0,1,1,1,1,1,0,1,1,0,1,1,1
8wh84yaf60,wylueur6u0,2024-08-07T09:41:16-04:00,7_CONFxCARE,5,Case3,1_T1,1_SC,2,5,1,1,,,,0,1,1,1,1,1,0,1,1,0,1,1,1
yya54tly2x,3ft6sudajf,2024-08-07T09:42:24-04:00,7_CONFxCARE,6,Case3,1_T1,1_SC,2,6,1,1,,,,1,1,1,1,1,1,0,1,1,1,0,1,0
wobjacr4f0,db92133qdh,2024-08-07T09:43:48-04:00,7_CONFxCARE,7,Case3,1_T1,1_SC,2,7,1,1,,,,1,1,1,1,1,1,0,1,1,1,1,1,0
e9j5fp5vc9,28pb47eho7,2024-08-07T09:45:14-04:00,7_CONFxCARE,8,Case3,1_T1,1_SC,2,8,1,1,,,,0,1,1,1,1,1,0,0,1,0,1,1,1
xb5ofe84wo,t3ew3axhcu,2024-08-07T09:46:24-04:00,7_CONFxCARE,9,Case3,1_T1,1_SC,2,9,1,1,,,,0,1,1,1,1,1,0,1,1,0,1,1,1
7e9kq33mlo,64rb2otz2n,2024-08-07T09:47:31-04:00,7_CONFxCARE,10,Case3,1_T1,1_SC,2,10,1,1,,,,1,1,1,1,1,1,0,1,1,1,1,1,0
x6snutud2j,dpi1l0y4v4,2024-08-07T09:48:42-04:00,7_CONFxCARE,11,Case3,1_T1,1_SC,2,11,1,1,,,,0,1,1,1,1,1,0,0,1,0,1,1,1
265y3yc7ii,vl3bg5qopv,2024-08-07T09:49:46-04:00,7_CONFxCARE,12,Case3,1_T1,1_SC,2,12,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,0
thoyygpc64,lo14zq7949,2024-08-07T09:51:35-04:00,7_CONFxCARE,13,Case3,1_T1,1_SC,2,13,1,1,,,,1,1,1,1,1,1,0,1,1,1,0,1,1
e9jw781c6q,jv9wyewjup,2024-08-07T09:52:50-04:00,7_CONFxCARE,14,Case3,1_T1,1_SC,2,14,1,1,,,,0,1,1,1,1,1,0,1,1,0,1,1,1
ghmv00nmh9,mlqxvlctuh,2024-08-07T09:54:11-04:00,7_CONFxCARE,15,Case3,1_T1,1_SC,2,15,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
nqzlgfxx1e,sr634l2a95,2024-08-07T09:55:09-04:00,7_CONFxCARE,16,Case3,1_T1,1_SC,2,16,1,1,,,,0,1,1,1,1,1,1,1,1,0,1,1,1
9u24ug994x,aynncxlb59,2024-08-07T09:56:22-04:00,7_CONFxCARE,17,Case3,1_T1,1_SC,2,17,1,1,,,,1,1,1,1,1,1,1,1,1,1,0,1,1
m8uvqwnkrw,y0drtplb83,2024-08-07T09:57:25-04:00,7_CONFxCARE,18,Case3,1_T1,1_SC,2,18,1,1,,,,0,1,1,1,1,1,1,1,1,0,1,1,1
aucaxt5gqq,l0dry5jou9,2024-08-07T09:59:11-04:00,7_CONFxCARE,19,Case3,1_T1,1_SC,2,19,1,1,,,,1,1,1,1,1,1,0,1,1,1,1,1,1
g1p4exdh69,6i9ei5keqi,2024-08-07T10:00:23-04:00,7_CONFxCARE,20,Case3,1_T1,1_SC,2,20,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
47wjgw3msn,nkh50lx8bx,2024-08-07T10:01:44-04:00,7_CONFxCARE,21,Case3,1_T1,1_SC,2,21,1,1,,,,1,1,1,1,1,1,1,1,1,0,1,1,1
fs87q3s1ty,6gerjlplxb,2024-08-07T10:03:04-04:00,7_CONFxCARE,22,Case3,1_T1,1_SC,2,22,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
lihoshct35,jbq12keg6e,2024-08-07T10:04:08-04:00,7_CONFxCARE,23,Case3,1_T1,1_SC,2,23,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1
lhit1i4fo9,mof6vyp5qk,2024-08-07T10:05:12-04:00,7_CONFxCARE,24,Case3,1_T1,1_SC,2,24,1,1,,,,0,1,1,1,1,1,1,1,1,0,1,1,1
